dim,pearson,spearman,kendall,mi,dcorr,hsic,pp_spatial
36,-0.0371194453438815,-0.0573221129187123,-0.03824984215879179,0.013778394220337553,0.046822313569227454,0.00012433026401364363,-0.03127662701277376
3,0.036088075502858634,0.048969545695819135,0.03255612474603488,0.005322469153440146,0.039846257743252976,0.00010551187137066482,0.03323589285693657
49,0.027238525085398004,0.03510985293716462,0.0234756024658999,0.0,0.029722487003383626,4.01966697917707e-05,0.024289350483634786
1,-0.025849072269262807,-0.04669963077648794,-0.031187846505780582,0.00914321936714213,0.03876500627106464,0.00012808193756778244,-0.022460844129694537
39,-0.025251128434331162,-0.05191868914566013,-0.03474125795456496,0.012055728592297754,0.04288073332939223,0.00014701178017568695,-0.02042633556333164
43,0.02433650957337752,0.033112734757229416,0.02204615845437049,0.0,0.02825363698867573,4.911163752522089e-05,0.026672092571183314
24,-0.02380110175373901,-0.025071187741047742,-0.016652073607317665,0.0,0.02467050980972631,3.0412428428954202e-05,-0.02175685248167967
54,0.022975080228871646,0.051556439619714095,0.034348059239636804,0.0,0.043300049440324256,0.00016036932790532385,0.019642820630905247
30,-0.02063578537006501,-0.03820814826164175,-0.025447505508338866,0.00206784140213756,0.03342008790787648,7.938336631732675e-05,-0.013404112522292648
63,-0.020298975610186634,-0.030351861950698052,-0.020056683863328827,0.0027953797880888587,0.027065808639439196,4.416288163394291e-05,-0.01957253793387228
17,0.01984179435150666,0.03896799417785436,0.02595942687726292,0.006449755788864309,0.03318210465222961,7.474837607645605e-05,0.01109958527638546
25,0.018787270767342285,0.03169668078815867,0.021109261597014744,0.0,0.027557110105959796,5.2110827184290086e-05,0.011591079941637931
13,0.01834137551291213,0.011626554615342014,0.007804139081810031,0.0,0.023074084970661067,3.4572372972981764e-05,0.020317805385860123
35,-0.017429867158637712,-0.037975634978731486,-0.025441029648198835,0.0018650318107740205,0.03544296734931016,9.451886613403853e-05,-0.014646154338657427
38,0.017199295608784696,0.03706261506911024,0.0246196734254872,0.0,0.03190979676050643,8.537540274963075e-05,0.011123219483071536
42,0.017081058715255407,0.010458048491246659,0.006977875546137716,0.0,0.016744472086538793,1.1934778755027932e-05,0.016123362099772408
