0,1,2,3
3.2842536,-0.015736006,3.2543738,-0.11085413
2.8468096,-0.040756486,2.8480318,-0.11009581
4.099806,-0.09320853,4.0313253,-0.092493646
4.074018,-0.06897215,4.0121813,-0.10462922
4.5981975,-0.10511971,4.5035625,-0.10085256
3.6303399,-0.07220418,3.5770926,-0.084692486
4.3030367,-0.10919551,4.223671,-0.09104263
3.1761706,-0.047315218,3.1656973,-0.10787834
3.6281283,-0.08548952,3.5732992,-0.08766736
4.2708464,-0.101858206,4.1882625,-0.08917537
2.8425658,-0.035075895,2.8584826,-0.111739516
3.8860824,-0.08117024,3.8319724,-0.092923164
3.3625572,-0.050329037,3.3525474,-0.1078771
4.37797,-0.110729285,4.2870564,-0.08117987
3.8074813,-0.07394276,3.7587514,-0.09262302
2.8028142,-0.03499622,2.8058083,-0.10467824
2.5899198,-0.027950339,2.6064355,-0.10030427
5.3316255,-0.14503083,5.2018814,-0.088473015
3.4046981,-0.04393009,3.364918,-0.094819665
3.3152325,-0.053190805,3.3102791,-0.10686422
4.207079,-0.08917383,4.1293507,-0.096931845
4.0537143,-0.04464809,3.9912775,-0.11520368
3.3681931,-0.057332553,3.3543782,-0.117424
3.5167484,-0.060527004,3.4914176,-0.0997794
3.792583,-0.071818,3.7514694,-0.10394282
3.0072281,-0.042925768,3.0062087,-0.11184331
3.2589543,-0.055929102,3.240561,-0.1128978
3.592486,-0.0689095,3.5601346,-0.109359436
3.524048,-0.057255186,3.49021,-0.10413568
4.3728194,-0.10900179,4.278266,-0.08620067
3.7831533,-0.0767268,3.7334452,-0.09625082
2.8272789,-0.0299434,2.8294647,-0.10742101
3.7969697,-0.067791946,3.7515805,-0.10232968
3.8314307,-0.0672063,3.7947962,-0.10481778
2.2458687,-0.012891017,2.2858639,-0.10772052
3.8137867,-0.062425412,3.7527044,-0.09868203
1.9955512,0.016710274,2.0256596,-0.1091569
3.4459822,-0.060667522,3.4267106,-0.11540249
3.0616314,-0.04571069,3.055871,-0.1134469
3.688893,-0.07889048,3.6448996,-0.1034419
1.678806,0.010193445,1.7338152,-0.10507524
2.800448,-0.032233752,2.8124194,-0.10488561
