0,1,2,3,4,5,6,7
0.7061689,0.12347886,1.0041997,-0.18196188,-3.668831,1.9441665,1.5843335,-1.2378839
0.9657829,0.13698772,1.3564192,-0.24805106,-4.8668227,2.5863037,2.1786268,-1.6027608
0.7573074,0.13174507,1.0786906,-0.21253334,-3.9496596,2.1045754,1.7113622,-1.3134619
0.47143134,0.11406034,0.6908944,-0.08777781,-2.6552024,1.4717206,1.0342544,-0.9168259
0.81089914,0.13781613,1.1443611,-0.2059444,-4.156599,2.2176197,1.8213382,-1.3771042
0.34513795,0.071365595,0.5050219,-0.087555215,-1.9486152,1.0582898,0.67766786,-0.7079386
0.7020265,0.12917918,0.9999047,-0.18773864,-3.6836128,1.9559029,1.5865504,-1.2300712
0.873168,0.1370045,1.2242414,-0.22236,-4.430105,2.3576615,1.9610728,-1.4670784
0.30053034,0.07662995,0.46313626,-0.09400967,-1.8591307,1.019081,0.63749945,-0.67199457
0.5946835,0.09632638,0.8668296,-0.15435472,-3.1969967,1.7191999,1.302704,-1.0929217
0.49011102,0.10523322,0.71385044,-0.13256761,-2.6815982,1.4288104,1.0747085,-0.93309915
0.78192055,0.13719654,1.1051607,-0.20447715,-4.025737,2.1404889,1.7613549,-1.339782
0.7589983,0.13329896,1.0828594,-0.20126279,-3.939587,2.1076767,1.7098303,-1.312019
0.59512806,0.10159898,0.8673737,-0.16545638,-3.199655,1.6991515,1.3369703,-1.0982128
0.6503258,0.12583256,0.93212223,-0.17610785,-3.4350786,1.8271344,1.4614713,-1.15785
0.7290882,0.13181919,1.0410293,-0.18805878,-3.7951007,2.0277603,1.6388792,-1.2644186
0.6730566,0.10967937,0.9551284,-0.16226538,-3.491355,1.857724,1.484897,-1.1920661
0.52054906,0.120943815,0.7460916,-0.13548599,-2.8113036,1.4991118,1.1487404,-0.96402663
0.5777184,0.11339474,0.82069534,-0.13476005,-3.07023,1.6505655,1.2605758,-1.0422757
0.5987085,0.0946216,0.8503584,-0.13425948,-3.123169,1.6743447,1.2710155,-1.0679517
0.7022852,0.13284472,0.9954676,-0.1895942,-3.6636899,1.9469786,1.5775065,-1.2272857
0.7955266,0.13772163,1.127139,-0.20513375,-4.087811,2.175559,1.7808255,-1.3599534
0.41435117,0.084775925,0.6117784,-0.11468546,-2.3322313,1.2514712,0.8902633,-0.82067305
0.75853634,0.122555315,1.0825107,-0.19553582,-3.9213274,2.0847821,1.7001375,-1.3156365
0.67906725,0.1500647,0.9860274,-0.10427526,-3.578401,1.9997855,1.5360929,-1.2036012
0.5109366,0.103441805,0.7401307,-0.1361752,-2.7842774,1.486178,1.1249512,-0.96117264
0.6318315,0.120856404,0.8962866,-0.17131941,-3.3105443,1.7534072,1.3969697,-1.1229434
0.47360942,0.11240229,0.6879524,-0.10215731,-2.6248322,1.4561778,1.0250522,-0.8953459
0.44693986,0.07352084,0.65882707,-0.11782096,-2.4864082,1.3378971,0.9477786,-0.88520646
0.67843246,0.12822345,0.9597587,-0.18080446,-3.5246797,1.8722311,1.5036944,-1.1783642
0.8431201,0.13549438,1.1891912,-0.21401222,-4.2926016,2.277158,1.8975366,-1.4207333
0.49622896,0.10749039,0.70542294,-0.11912431,-2.6697388,1.4443275,1.0604035,-0.91598725
0.5201026,0.10746494,0.7584233,-0.11132532,-2.859166,1.577886,1.1328906,-0.98273754
0.57211506,0.10977396,0.8223136,-0.14909208,-3.047702,1.6171993,1.267727,-1.0502551
0.65635884,0.12881792,0.9439988,-0.18252642,-3.472638,1.8539182,1.4806104,-1.164303
0.51285875,0.0797078,0.7469284,-0.12590566,-2.7732546,1.4933803,1.0925964,-0.9698154
0.5733299,0.10960567,0.81224865,-0.16083613,-3.0265641,1.5955813,1.2407333,-1.0283597
0.845454,0.1354334,1.1852925,-0.2161737,-4.2824383,2.2767599,1.8844198,-1.4194052
0.6576961,0.1091837,0.945913,-0.16554713,-3.4416666,1.8413372,1.4525228,-1.1681603
0.7113702,0.12101361,1.0152864,-0.18683638,-3.7195568,1.9831235,1.5912797,-1.2446728
0.6689582,0.112562865,0.95525616,-0.16788664,-3.4902265,1.8573716,1.4806556,-1.1825649
0.790655,0.13263503,1.1168772,-0.20306168,-4.0717077,2.164029,1.7775044,-1.3561579
0.7428899,0.1355519,1.0655422,-0.19058914,-3.890427,2.0824049,1.6874145,-1.294588
0.69024885,0.13148725,0.977462,-0.18930109,-3.6101606,1.9226458,1.5516933,-1.2094976
0.65854037,0.09499702,0.9489836,-0.15410566,-3.454573,1.8546851,1.4427402,-1.1792576
0.6271864,0.12638354,0.9027608,-0.15929125,-3.3134522,1.7665704,1.4007407,-1.1190189
0.47488055,0.096618384,0.69902635,-0.12043826,-2.6363864,1.4274387,1.0297521,-0.91289467
0.53217816,0.10746172,0.7895505,-0.12621407,-2.933282,1.6024315,1.1749088,-1.0049866
0.52000093,0.113884956,0.7505215,-0.11820923,-2.830633,1.5449601,1.1313813,-0.96075344
0.5435028,0.09902865,0.79760015,-0.13240531,-2.9822369,1.6289561,1.1973653,-1.016484
0.49008337,0.08649129,0.70581263,-0.12248902,-2.6406083,1.4227501,1.0313733,-0.9173569
0.37609524,0.07869053,0.54538834,-0.087325394,-2.0809846,1.1346226,0.7372683,-0.7383546
0.54923856,0.12956569,0.79212946,-0.1212029,-2.9725008,1.6264809,1.2194217,-1.0077341
0.745003,0.1209141,1.0527579,-0.19256945,-3.8323214,2.034105,1.6604558,-1.2877119
0.7449323,0.14671811,1.0745538,-0.14295064,-3.8866339,2.129532,1.6882784,-1.296621
0.41206917,0.09726676,0.6175653,-0.088906065,-2.3725753,1.3181707,0.89089596,-0.83050436
