0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2.7904868,-0.5977097,2.28844,-2.610228,0.47905383,2.1423376,-0.6387524,0.73793054,-1.4622525,2.5262365,2.046449,0.43150407,1.9338728,2.6183498,-1.7510884,-2.3629355
1.7489941,-0.4816183,1.5749539,-2.037897,0.30416453,1.6239067,-0.58983135,0.46063736,-1.008698,1.8299401,1.5666064,0.36249548,1.4445883,1.8642517,-1.2917874,-1.6647874
2.011418,-0.46345633,1.6805148,-1.9588901,0.33086917,1.5909308,-0.538358,0.53787136,-1.0441666,1.8418939,1.4967924,0.29322082,1.4643828,1.9397738,-1.2470853,-1.7231377
1.5444806,-0.4511438,1.4361778,-1.9000171,0.26545316,1.5116556,-0.5779801,0.41828933,-0.8883847,1.6677054,1.4426609,0.34232253,1.3485159,1.6995648,-1.1674873,-1.5197588
2.6219397,-0.54858816,2.1711392,-2.4829748,0.45120427,2.0284247,-0.61352354,0.6945109,-1.3570529,2.386174,1.9339,0.42128485,1.8328265,2.4736087,-1.6633992,-2.2446058
1.5870085,-0.4805407,1.3612293,-1.638161,0.26222196,1.2981582,-0.5319286,0.44565967,-0.8581573,1.4541783,1.2231671,0.17476341,1.2331715,1.6071045,-0.9297314,-1.3583412
1.7912998,-0.48270565,1.6195011,-2.069261,0.30462402,1.654263,-0.5877672,0.4689912,-1.0312783,1.8580304,1.5948449,0.36247474,1.4621361,1.8970153,-1.3060875,-1.7002146
1.6255662,-0.44684225,1.4768777,-1.9013743,0.27463138,1.513133,-0.5654338,0.44686154,-0.9194598,1.6955235,1.4363087,0.3328794,1.3586992,1.7310867,-1.1829165,-1.5529729
2.9966502,-0.6280535,2.475297,-2.8133447,0.5174686,2.2996435,-0.6661802,0.7857249,-1.5599836,2.7220337,2.2120605,0.4810031,2.075107,2.8112273,-1.8956184,-2.5598228
1.6749246,-0.44324917,1.5009351,-1.9113394,0.2836899,1.5260396,-0.55566907,0.45823577,-0.9529749,1.7054827,1.4644605,0.32860288,1.3707556,1.7685012,-1.2049181,-1.5652764
1.9593532,-0.5046267,1.7315254,-2.1729183,0.3253227,1.7540368,-0.59136087,0.5162532,-1.1109773,1.978194,1.6837469,0.38246715,1.5507597,2.0222952,-1.3807375,-1.8167176
1.5581965,-0.52585393,1.2835763,-1.4948021,0.24282746,1.1912324,-0.5359336,0.44773623,-0.8213204,1.3382742,1.1058092,0.11619539,1.1690761,1.5411787,-0.804866,-1.2672267
1.2738867,-0.4538768,1.0477074,-1.2616986,0.19730878,1.0009935,-0.49775976,0.37127843,-0.6961055,1.0934825,0.9383916,0.06949035,0.9932065,1.2834682,-0.65248054,-1.0261089
2.8661833,-0.6141401,2.3511164,-2.6820452,0.48397484,2.196519,-0.648923,0.7539015,-1.4934052,2.6089487,2.1061873,0.4529789,1.9846323,2.687524,-1.7982979,-2.4421046
1.6027179,-0.46384114,1.4897199,-1.9260919,0.2772479,1.5289955,-0.576335,0.43506315,-0.92203283,1.7092357,1.4616017,0.33563724,1.3693006,1.7471724,-1.1934705,-1.5565546
1.8198943,-0.47963256,1.6270114,-2.059419,0.30842817,1.6553988,-0.57366234,0.47265485,-1.0382366,1.8555799,1.5948237,0.3554798,1.4683958,1.9062442,-1.3003275,-1.6956606
1.1739917,-0.36794275,1.1340944,-1.5628818,0.19842471,1.2435415,-0.5132994,0.3244737,-0.71628594,1.3233407,1.1816635,0.27011895,1.097959,1.3675963,-0.94456315,-1.19923
2.431409,-0.5395177,1.9981666,-2.3028116,0.40971226,1.8862567,-0.5944986,0.6337187,-1.2615091,2.2135947,1.782481,0.34824952,1.7112341,2.2900252,-1.4886928,-2.0571578
2.2295713,-0.53835344,1.9392198,-2.3606474,0.3730792,1.9142418,-0.6216424,0.58583504,-1.2333096,2.1909602,1.8475602,0.42321855,1.7061152,2.2440841,-1.5404263,-2.0253904
