,0,1
"(25, 10)",0.6523252,0.3803423
"(25, 11)",0.71593845,0.2692345
"(25, 12)",0.6568203,0.26949954
"(25, 13)",0.68717813,0.3437776
"(25, 14)",0.22637546,0.7400033
"(25, 15)",0.24326923,0.7023439
"(25, 16)",0.23584595,0.75320226
"(25, 17)",0.26926565,0.79873335
"(25, 18)",0.1555573,0.79701394
"(25, 19)",0.1606765,0.83039314
"(25, 20)",0.18611857,0.8282011
"(25, 21)",0.2344783,0.79668367
"(25, 22)",0.1784822,0.7729223
"(25, 23)",0.23511164,0.7903853
"(25, 24)",0.110085025,0.776829
"(25, 25)",0.16833234,0.81070507
"(25, 26)",0.17860311,0.79060423
"(25, 27)",0.007029789,0.8945958
"(25, 28)",0.21307856,0.8148192
"(25, 29)",0.13104439,0.8386321
"(25, 30)",0.22424008,0.8175706
"(25, 31)",0.085528575,0.90222734
"(25, 32)",0.25720653,0.75613666
"(25, 33)",0.40376422,0.61927676
"(25, 34)",0.24007197,0.8212408
"(25, 35)",0.4621618,0.5961457
"(26, 5)",0.66974723,0.34243947
"(26, 6)",0.6225654,0.33844134
"(26, 7)",0.6552524,0.36546814
"(26, 8)",0.788796,0.20891699
"(26, 9)",0.7091387,0.3605067
"(26, 10)",0.65244097,0.35428616
"(26, 11)",0.7107945,0.34959528
"(26, 12)",0.6007593,0.36500418
"(26, 13)",0.5051243,0.4838456
"(26, 14)",0.3361859,0.68415713
"(26, 15)",0.2678732,0.7133061
"(26, 16)",0.252006,0.7727748
"(26, 17)",0.13749093,0.8137947
"(26, 18)",0.20591125,0.7732955
"(26, 19)",0.13973905,0.8201212
"(26, 20)",0.1733361,0.8186521
"(26, 21)",0.2504558,0.78505754
"(26, 22)",0.10193638,0.89392674
"(26, 23)",0.13084008,0.8524945
"(26, 24)",0.18938945,0.8633944
"(26, 25)",0.18792045,0.83580136
"(26, 26)",0.20537883,0.7680668
"(26, 27)",0.14690827,0.8371075
"(26, 28)",0.20693943,0.8270128
"(26, 29)",0.20006694,0.78459495
"(26, 30)",0.11669836,0.7992399
"(26, 31)",0.23725481,0.8134341
"(26, 32)",0.3284845,0.69766474
"(26, 33)",0.2869945,0.7026982
"(26, 34)",0.35293794,0.6506307
"(26, 35)",0.28304058,0.7266517
"(27, 5)",0.56233096,0.44456467
"(27, 6)",0.626666,0.3538484
"(27, 7)",0.6519367,0.34695128
"(27, 8)",0.65303725,0.35162118
"(27, 9)",0.6345143,0.38218126
"(27, 10)",0.7408195,0.31513727
"(27, 11)",0.70357543,0.38010615
"(27, 12)",0.8033247,0.15771265
"(27, 13)",0.7618075,0.2552257
"(27, 14)",0.2360075,0.6504591
"(27, 15)",0.26446137,0.7309245
"(27, 16)",0.19170167,0.80158204
"(27, 17)",0.23039685,0.78894645
"(27, 18)",0.17815745,0.81902266
"(27, 19)",0.20999604,0.6931563
"(27, 20)",0.22771125,0.8286814
"(27, 21)",0.20659088,0.8462959
"(27, 22)",0.21525873,0.7662575
"(27, 23)",0.1804916,0.82236946
"(27, 24)",0.21055101,0.8438472
"(27, 25)",0.116317436,0.8356934
"(27, 26)",0.18797305,0.82502973
"(27, 27)",0.15079898,0.80643123
"(27, 28)",0.20839612,0.7902295
"(27, 29)",0.16188647,0.89310056
"(27, 30)",0.23322786,0.8420359
"(27, 31)",0.23051855,0.8015947
"(27, 32)",0.27402467,0.7603263
"(27, 33)",0.27986383,0.77579206
"(27, 34)",0.30884972,0.7088791
"(27, 35)",0.32885465,0.67360395
"(28, 5)",0.4361395,0.5178609
"(28, 6)",0.5914242,0.385518
"(28, 7)",0.6540832,0.3590308
"(28, 8)",0.6474842,0.34646314
"(28, 9)",0.6539452,0.39615965
"(28, 10)",0.67364633,0.30950987
"(28, 11)",0.7425554,0.27393627
"(28, 12)",0.80707,0.18456957
"(28, 13)",0.5910524,0.35565516
"(28, 14)",0.41770682,0.51310503
"(28, 15)",0.41463402,0.56091475
"(28, 16)",0.2239573,0.68755364
"(28, 17)",0.16752689,0.7969285
"(28, 18)",0.16195968,0.82349896
"(28, 19)",0.28775266,0.760581
"(28, 20)",0.18075253,0.80849785
"(28, 21)",0.19441015,0.84073067
"(28, 22)",0.24132471,0.8759697
"(28, 23)",0.16985737,0.9384999
"(28, 24)",0.1887792,0.7817548
"(28, 25)",0.05392329,0.9456237
"(28, 26)",0.07229861,0.9468368
"(28, 27)",0.12537381,0.9110483
"(28, 28)",0.15341385,0.814906
"(28, 29)",0.20546255,0.8095697
"(28, 30)",0.1944844,0.7689608
"(28, 31)",0.23618805,0.7824553
"(28, 32)",0.21282643,0.87049127
"(28, 33)",0.23375933,0.7814553
"(28, 34)",0.32851258,0.7203338
"(28, 35)",0.3307665,0.64449763
"(29, 5)",0.41852212,0.5794957
"(29, 6)",0.45193833,0.50791246
"(29, 7)",0.71031475,0.3061669
"(29, 8)",0.60451615,0.43278024
"(29, 9)",0.6048863,0.41389152
"(29, 10)",0.64379436,0.3620982
"(29, 11)",0.7008834,0.22097981
"(29, 12)",0.38059852,0.5726723
"(29, 13)",0.40380955,0.5972538
"(29, 14)",0.32399744,0.6779464
"(29, 15)",0.30310348,0.70049286
"(29, 16)",0.3346411,0.7155478
"(29, 17)",0.18639457,0.7559009
"(29, 18)",0.18819334,0.8264593
"(29, 19)",0.14475103,0.81363475
"(29, 20)",0.17766544,0.811957
"(29, 21)",0.17886919,0.83246315
"(29, 22)",0.14396425,0.8581799
"(29, 23)",0.2107074,0.8091642
"(29, 24)",0.24841103,0.7830582
"(29, 25)",0.18487722,0.8014167
"(29, 26)",0.10668506,0.9032412
"(29, 27)",0.078955,0.9082477
"(29, 28)",0.22582571,0.7722403
"(29, 29)",0.14532803,0.8415688
"(29, 30)",0.20933568,0.7668344
"(29, 31)",0.24446113,0.7710855
"(29, 32)",0.15147008,0.8419841
"(29, 33)",0.25740975,0.76417935
"(29, 34)",0.3503711,0.6733685
"(29, 35)",0.23993549,0.7042882
"(30, 5)",0.33586973,0.7223951
"(30, 6)",0.33995342,0.63435346
"(30, 7)",0.64282334,0.38480726
"(30, 8)",0.68575764,0.3352169
"(30, 9)",0.5164045,0.45040655
"(30, 10)",0.75052047,0.28854188
"(30, 11)",0.47330013,0.47071972
"(30, 12)",0.411722,0.63679767
"(30, 13)",0.16933125,0.85135263
"(30, 14)",0.13336039,0.8213506
"(30, 15)",0.36470583,0.5986862
"(30, 16)",0.26380977,0.79685336
"(30, 17)",0.03353311,0.82642007
"(30, 18)",0.19965842,0.76742727
"(30, 19)",0.20719628,0.7970566
"(30, 20)",0.23164903,0.7829771
"(30, 21)",0.2039441,0.7935348
"(30, 22)",0.16273265,0.79346746
"(30, 23)",0.21411705,0.8451101
"(30, 24)",0.13051547,0.7973068
"(30, 25)",0.124849446,0.8805734
"(30, 26)",0.010780759,0.9513699
"(30, 27)",0.18737516,0.83360595
"(30, 28)",0.17264889,0.7729036
"(30, 29)",0.23694783,0.7519454
"(30, 30)",0.15579003,0.82801795
"(30, 31)",0.19663875,0.7729469
"(30, 32)",0.13882889,0.9010823
"(30, 33)",0.21113619,0.6879448
"(30, 34)",0.09865465,0.9012938
"(30, 35)",0.33016694,0.6412499
"(31, 5)",0.2250399,0.70605564
"(31, 6)",0.3483532,0.6756412
"(31, 7)",0.46975893,0.5288617
"(31, 8)",0.56874865,0.44400617
"(31, 9)",0.73920566,0.29976943
"(31, 10)",0.79424906,0.24377425
"(31, 11)",0.66133565,0.36515546
"(31, 12)",0.45644385,0.46692944
"(31, 13)",0.21677102,0.7220314
"(31, 14)",0.26126555,0.6582301
"(31, 15)",0.2899395,0.6949229
"(31, 16)",0.31184575,0.73115563
"(31, 17)",0.22826387,0.85426426
"(31, 18)",0.09611662,0.93191403
"(31, 19)",0.16505365,0.7982668
"(31, 20)",0.46122015,0.55675244
"(31, 21)",0.21033637,0.77252245
"(31, 22)",0.28359678,0.7359388
"(31, 23)",0.19175036,0.8640811
"(31, 24)",0.14214055,0.838107
"(31, 25)",0.16241512,0.82704645
"(31, 26)",0.14209992,0.86666715
"(31, 27)",0.23977175,0.7831208
"(31, 28)",0.05459346,0.8764257
"(31, 29)",0.3083941,0.7413629
"(31, 30)",0.0760861,0.9162592
"(31, 31)",0.1888245,0.84003633
"(31, 32)",0.24843109,0.8018039
"(31, 33)",0.26380578,0.7415756
"(31, 34)",0.2969589,0.7495075
"(31, 35)",0.370911,0.61571646
"(32, 5)",0.2522688,0.72927934
"(32, 6)",0.37314245,0.67165583
"(32, 7)",0.4250174,0.6046349
"(32, 8)",0.66456306,0.4488372
"(32, 9)",0.6917143,0.33669943
"(32, 10)",0.86732125,0.18112442
"(32, 11)",0.7995169,0.2764065
"(32, 12)",0.5003988,0.4657643
"(32, 13)",0.37544575,0.58467865
"(32, 14)",0.2963386,0.69960356
"(32, 15)",0.012521254,1.0271624
"(32, 16)",0.35898924,0.63544536
"(32, 17)",0.15556504,0.8695071
"(32, 18)",0.18838793,0.7749016
"(32, 19)",0.17910771,0.8067726
"(32, 20)",0.18017915,0.7750775
"(32, 21)",0.13027121,0.83732957
"(32, 22)",0.18174666,0.79418564
"(32, 23)",0.1906237,0.7802546
"(32, 24)",0.16664366,0.8300005
"(32, 25)",0.34775358,0.7130766
"(32, 26)",0.17097467,0.78656757
"(32, 27)",0.10691707,0.8513736
"(32, 28)",0.119800426,0.82531875
"(32, 29)",0.26981452,0.79396164
"(32, 30)",0.29449612,0.75504977
"(32, 31)",0.17278484,0.8665804
"(32, 32)",0.14900199,0.90561247
"(32, 33)",0.22035071,0.823748
"(32, 34)",0.1406811,0.9206009
"(32, 35)",0.3532503,0.64268136
"(33, 5)",0.23256576,0.76447034
"(33, 6)",0.32299265,0.7353862
"(33, 7)",0.34426928,0.6298082
"(33, 8)",0.622895,0.4370953
"(33, 9)",0.7734754,0.23009217
"(33, 10)",0.7397616,0.2958628
"(33, 11)",0.7439191,0.30751458
"(33, 12)",0.581553,0.28311142
"(33, 13)",0.44735986,0.52310765
"(33, 14)",0.30867013,0.6648972
"(33, 15)",0.32069957,0.7179921
"(33, 16)",0.31893748,0.6766058
"(33, 17)",0.25132304,0.7804152
"(33, 18)",0.22352019,0.8197358
"(33, 19)",0.112441644,0.8523273
"(33, 20)",0.15676245,0.80048156
"(33, 21)",0.22193074,0.8039389
"(33, 22)",0.36163613,0.7051048
"(33, 23)",0.18694088,0.7152546
"(33, 24)",0.17396265,0.8216451
"(33, 25)",0.179777,0.81837547
"(33, 26)",0.16783553,0.8005796
"(33, 27)",0.18864879,0.79250705
"(33, 28)",0.04409153,0.94332594
"(33, 29)",0.11494739,0.7869877
"(33, 30)",0.1870724,0.8312436
"(33, 31)",0.22126804,0.78448164
"(33, 32)",0.268768,0.80343
"(33, 33)",0.28186715,0.73779815
"(33, 34)",0.22350991,0.7788273
"(33, 35)",0.3462016,0.60122514
"(34, 5)",0.32898802,0.6743941
"(34, 6)",0.23074067,0.7199163
"(34, 7)",0.32908234,0.6713162
"(34, 8)",0.611106,0.50131345
"(34, 9)",0.74128383,0.26045045
"(34, 10)",0.80384827,0.20418526
"(34, 11)",0.79546046,0.21938616
"(34, 12)",0.76433814,0.3220144
"(34, 13)",0.58549404,0.34968707
"(34, 14)",0.5017546,0.5207219
"(34, 15)",0.22225717,0.7668585
"(34, 16)",0.27282935,0.7220746
"(34, 17)",0.22075804,0.7765138
"(34, 18)",0.19864342,0.7507885
"(34, 19)",0.18064037,0.7702586
"(34, 20)",0.17914239,0.79295963
"(34, 21)",0.20216373,0.84898245
"(34, 22)",0.19378224,0.7837766
"(34, 23)",0.16922538,0.848439
"(34, 24)",0.048338898,0.9836062
"(34, 25)",0.1815629,0.7882986
"(34, 26)",0.08596902,0.9307063
"(34, 27)",0.20791863,0.8894514
"(34, 28)",0.20605491,0.7699996
"(34, 29)",0.15445212,0.82591015
"(34, 30)",0.18164907,0.8403289
"(34, 31)",0.1254144,0.92033195
"(34, 32)",0.16741045,0.833391
"(34, 33)",0.26866636,0.73227894
"(34, 34)",0.2515615,0.7979563
"(34, 35)",0.32796878,0.6900219
"(35, 5)",0.35341278,0.65669054
"(35, 6)",0.2924872,0.7624263
"(35, 7)",0.2859065,0.7064022
"(35, 8)",0.43402708,0.5746486
"(35, 9)",0.71664953,0.31264356
"(35, 10)",0.7174136,0.33214742
"(35, 11)",0.80061746,0.2685986
"(35, 12)",0.69124925,0.34341568
"(35, 13)",0.67521006,0.39355037
"(35, 14)",0.5913395,0.4253604
"(35, 15)",0.41612568,0.58599037
"(35, 16)",0.3635574,0.64766896
"(35, 17)",0.37486482,0.65064263
"(35, 18)",0.20341332,0.7855229
"(35, 19)",0.20263322,0.7700971
"(35, 20)",0.13845573,0.8038212
"(35, 21)",0.17253713,0.84076697
"(35, 22)",0.1537139,0.8962366
"(35, 23)",0.20017883,0.8322279
"(35, 24)",0.19601552,0.8443874
"(35, 25)",0.16547537,0.81791776
"(35, 26)",0.20511463,0.8474887
"(35, 27)",0.21248627,0.8495123
"(35, 28)",0.12833959,0.85229087
"(35, 29)",0.20219497,0.78032804
"(35, 30)",0.20037462,0.82726616
"(35, 31)",0.18921484,0.8535449
"(35, 32)",0.022460343,1.0176792
"(35, 33)",0.2161528,0.81764746
"(35, 34)",0.27848047,0.69681174
"(35, 35)",0.31040114,0.683981
"(36, 5)",0.49749488,0.52954394
"(36, 6)",0.33678514,0.6699464
"(36, 7)",0.23891222,0.7229847
"(36, 8)",0.49849004,0.5697984
"(36, 9)",0.70488346,0.35975438
"(36, 10)",0.7059349,0.33694792
"(36, 11)",0.8216037,0.25269768
"(36, 12)",0.7744247,0.3363438
"(36, 13)",0.7740999,0.25703338
"(36, 14)",0.9068657,0.1381599
"(36, 15)",0.6243644,0.28470707
"(36, 16)",0.3841037,0.52271277
"(36, 17)",0.19678254,0.7336208
"(36, 18)",0.21473162,0.76597434
"(36, 19)",0.09189389,0.82843
"(36, 20)",0.2108941,0.7880479
"(36, 21)",0.19607955,0.807131
"(36, 22)",0.21541888,0.7861574
"(36, 23)",0.21282607,0.81542784
"(36, 24)",0.1886608,0.7773636
"(36, 25)",0.2164817,0.7952359
"(36, 26)",0.13147825,0.8206006
"(36, 27)",0.1931387,0.78239965
"(36, 28)",0.18342523,0.8494415
"(36, 29)",0.09954655,0.9491056
"(36, 30)",0.16023575,0.8144146
"(36, 31)",0.18438159,0.822514
"(36, 32)",0.21388464,0.8880017
"(36, 33)",0.25941348,0.7474911
"(36, 34)",0.30506718,0.7604723
"(36, 35)",0.351614,0.6315935
"(37, 5)",0.67588586,0.34000352
"(37, 6)",0.4253951,0.55911034
"(37, 7)",0.37000653,0.70251304
"(37, 8)",0.2035869,0.81700236
"(37, 9)",0.51066536,0.53241366
"(37, 10)",0.65006,0.31394073
"(37, 11)",0.7289032,0.36535424
"(37, 12)",0.7092344,0.29584506
"(37, 13)",0.7034108,0.26942572
"(37, 14)",0.78930354,0.20943275
"(37, 15)",0.7549221,0.28611994
"(37, 16)",0.6322287,0.3877303
"(37, 17)",0.27912477,0.70816636
"(37, 18)",0.2393194,0.6870615
"(37, 19)",0.24375354,0.7334007
"(37, 20)",0.17753781,0.84277946
"(37, 21)",0.18850379,0.72814894
"(37, 22)",0.30531517,0.6831524
"(37, 23)",0.16685198,0.8238301
"(37, 24)",0.09059662,0.8737974
"(37, 25)",0.17710768,0.7965786
"(37, 26)",0.10657195,0.8969414
"(37, 27)",0.15952861,0.8309537
"(37, 28)",0.100895986,0.86394227
"(37, 29)",0.10375978,0.8989966
"(37, 30)",0.14013222,0.8894186
"(37, 31)",0.17198569,0.80261993
"(37, 32)",0.17869388,0.8459431
"(37, 33)",0.33034903,0.7369329
"(37, 34)",0.24911866,0.77925014
"(37, 35)",0.29733804,0.6450118
"(38, 5)",0.6614688,0.30297717
"(38, 6)",0.52527785,0.42838275
"(38, 7)",0.46910524,0.54663825
"(38, 8)",0.3367754,0.70192075
"(38, 9)",0.68035805,0.31087872
"(38, 10)",0.6129966,0.39009863
"(38, 11)",0.7164075,0.22368103
"(38, 12)",0.5446097,0.45841953
"(38, 13)",0.90624774,0.15086804
"(38, 14)",0.8233348,0.24545498
"(38, 15)",0.7476081,0.2774894
"(38, 16)",0.7394348,0.25610468
"(38, 17)",0.557678,0.44010183
"(38, 18)",0.44362715,0.5906987
"(38, 19)",0.27764907,0.732292
"(38, 20)",0.28610486,0.7874133
"(38, 21)",0.19560385,0.8015135
"(38, 22)",0.076304995,0.88590264
"(38, 23)",0.19155543,0.883182
"(38, 24)",0.1259974,0.8669642
"(38, 25)",0.1734198,0.8083287
"(38, 26)",0.08061262,0.8847599
"(38, 27)",0.1561933,0.83511555
"(38, 28)",0.17980418,0.7679373
"(38, 29)",0.08808334,0.87642694
"(38, 30)",0.16687456,0.9089166
"(38, 31)",0.16433908,0.83312654
"(38, 32)",0.1997398,0.8201245
"(38, 33)",0.2224531,0.7640129
"(38, 34)",0.31139705,0.6982868
"(38, 35)",0.33905485,0.6022714
"(39, 5)",0.65867674,0.35270014
"(39, 6)",0.65450686,0.33068156
"(39, 7)",0.6279816,0.36625755
"(39, 8)",0.41092655,0.49707067
"(39, 9)",0.4487913,0.5652726
"(39, 10)",0.60085714,0.38331264
"(39, 11)",0.72178733,0.3582868
"(39, 12)",0.8123933,0.22066742
"(39, 13)",0.69731754,0.28756738
"(39, 14)",0.76740897,0.21551523
"(39, 15)",0.7914388,0.26409265
"(39, 16)",0.7977869,0.26857194
"(39, 17)",0.64228827,0.25356063
"(39, 18)",0.5812022,0.43312094
"(39, 19)",0.38052246,0.60540706
"(39, 20)",0.26699156,0.70728624
"(39, 21)",0.2599607,0.6892393
"(39, 22)",0.190353,0.76846665
"(39, 23)",0.12003188,0.86951965
"(39, 24)",0.17627224,0.7845223
"(39, 25)",0.18429443,0.7854963
"(39, 26)",0.08955637,0.8820129
"(39, 27)",0.22656946,0.8192588
"(39, 28)",0.2415691,0.73248667
"(39, 29)",0.2115468,0.8207162
"(39, 30)",0.2117377,0.7579639
"(39, 31)",0.19051646,0.8209039
"(39, 32)",0.18495849,0.7892059
"(39, 33)",0.28683162,0.7747051
"(39, 34)",0.23144165,0.73462546
"(39, 35)",0.34769562,0.60844547
"(40, 5)",0.51946133,0.49541134
"(40, 6)",0.64464015,0.33152595
"(40, 7)",0.6729708,0.27191314
"(40, 8)",0.55730647,0.48270184
"(40, 9)",0.6866591,0.32794124
"(40, 10)",1.1118584,0.010517658
"(40, 11)",0.75592726,0.22981183
"(40, 12)",0.7185205,0.31243432
"(40, 13)",0.7088591,0.3261726
"(40, 14)",0.92431474,0.115936756
"(40, 15)",0.8659677,0.1715025
"(40, 16)",0.78313816,0.20046079
"(40, 17)",0.6642656,0.38526067
"(40, 18)",0.6684162,0.312852
"(40, 19)",0.7732565,0.32643154
"(40, 20)",0.3470895,0.6668354
"(40, 21)",0.21008044,0.7938697
"(40, 22)",0.07707478,0.8984912
"(40, 23)",0.19218855,0.7240304
"(40, 24)",0.14569826,0.7731342
"(40, 25)",0.14466977,0.80458784
"(40, 26)",0.17543656,0.7518007
"(40, 27)",0.09263475,0.87997735
"(40, 28)",0.25778383,0.71189415
"(40, 29)",0.17657818,0.83385915
"(40, 30)",0.18064827,0.8331735
"(40, 31)",0.22545879,0.826633
"(40, 32)",0.20755151,0.818767
"(40, 33)",0.22175872,0.791802
"(40, 34)",0.25748885,0.7306526
"(40, 35)",0.31476963,0.7099076
"(41, 5)",0.3523336,0.7190108
"(41, 6)",0.45196706,0.50697035
"(41, 7)",0.66926485,0.3060438
"(41, 8)",0.6813942,0.2953806
"(41, 9)",0.7218415,0.33679727
"(41, 10)",0.8344841,0.25417364
"(41, 11)",0.7808705,0.25052696
"(41, 12)",0.74176544,0.3081788
"(41, 13)",0.7247066,0.26098767
"(41, 14)",0.7335766,0.2993692
"(41, 15)",0.8421364,0.22916597
"(41, 16)",0.7496537,0.23702645
"(41, 17)",0.71736,0.2677016
"(41, 18)",0.67792845,0.28380224
"(41, 19)",0.61972666,0.34680676
"(41, 20)",0.53583646,0.49164438
"(41, 21)",0.19772962,0.72108364
"(41, 22)",0.23671979,0.7529864
"(41, 23)",0.22933692,0.7370431
"(41, 24)",0.20194285,0.8144358
"(41, 25)",0.16878708,0.83329564
"(41, 26)",0.20833516,0.80729485
"(41, 27)",0.15372613,0.8875623
"(41, 28)",0.12802495,0.88324267
"(41, 29)",0.20988835,0.8515964
"(41, 30)",0.20339486,0.8681891
"(41, 31)",0.2064233,0.82506454
"(41, 32)",0.118875705,0.8252451
"(41, 33)",0.24931143,0.76885504
"(41, 34)",0.2245264,0.8141509
"(41, 35)",0.12477109,0.81558245
"(42, 5)",0.36670125,0.6865327
"(42, 6)",0.4277267,0.6084487
"(42, 7)",0.50391006,0.5067799
"(42, 8)",0.6096681,0.46156034
"(42, 9)",0.85261375,0.19775185
"(42, 10)",0.7929107,0.23737186
"(42, 11)",0.7184194,0.27252978
"(42, 12)",0.69824207,0.27136704
"(42, 13)",1.0677166,0.03195909
"(42, 14)",0.81893486,0.14876859
"(42, 15)",0.76980954,0.23750794
"(42, 16)",0.66541195,0.35023823
"(42, 17)",0.9310292,0.15062869
"(42, 18)",0.74002296,0.27538103
"(42, 19)",0.74337727,0.288894
"(42, 20)",0.5897838,0.38411728
"(42, 21)",0.3932632,0.5682542
"(42, 22)",0.32585657,0.6523647
"(42, 23)",0.31000298,0.7072809
"(42, 24)",0.16708316,0.80483246
