,0,1,2,3,4,5,6,7,8,9
"(20, 5)",-12.331905021640132,2.9799562020296277,1.7847405315305964,-6.600621919626296,0.9623132441643225,0.40117255373211264,-1.637750078887562,-0.2721121143700489,0.543471037858835,0.3225539499297158
"(20, 6)",-8.430645537646631,7.445675079932301,3.039651241999356,-3.3631475389548484,1.7368922743995319,0.8569356791806191,-1.3991571220757217,-0.28443344572343937,0.2821611328374336,0.6807672999847123
"(20, 7)",-8.75452282572409,4.6131453388813455,3.337598588204122,-4.010923351617185,0.1518785696308939,0.8310755662670855,-1.4977846936182682,0.08535503723645975,-0.44330029631665835,1.4191364333733303
"(20, 8)",-2.232296791834018,2.649135942596172,2.5044800492963284,-0.7443979267057584,-2.6215187511033395,1.8553125233853123,-1.8924240730418571,-0.4916890879674219,-1.4894958243031697,1.0841557257145844
"(20, 9)",-1.2324392220786247,1.870802633345214,3.3071644514236938,-0.7800925989382995,-4.385529458744944,2.257421162457038,-1.6280898470616652,0.9421732370539426,-2.2928094067517,1.0313238674290683
"(20, 10)",0.09071967422480648,4.365111841683486,2.89446786324164,0.7234968919054235,-3.4122611251874444,2.1371489792677076,-2.3583227968685554,0.4436647305164262,-1.9223652893415673,0.7096498693637049
"(20, 11)",-3.4861248537887715,1.4655693692910523,2.172049864845268,0.49079704998342455,-2.915238775414307,1.0350176432868219,-0.9170553787677436,1.1688537915744257,-1.7456510475712648,0.27343734695059424
"(20, 12)",-0.19586549409719342,2.837300845506021,0.9100184617435055,5.7769289658009075,-0.5486188477817586,1.3511498636040973,0.10501559425875627,1.0273150658293433,-0.5818859250152982,-0.2620900000617092
"(20, 13)",-7.54706277630504,-4.590409422205421,-1.0018037289433512,1.0983262594125955,-0.9365348938139979,0.8908488287372608,-0.11269659882329804,0.8357479329630855,0.4978496060824251,-0.5905281868525009
"(20, 14)",-9.74101743706685,-7.007303985657799,-2.15387243958206,-0.640059851511761,-0.7341291109841258,0.8666949715564195,-0.5883928850650862,0.21629250856485696,1.2445720470007422,-0.697801170707283
"(20, 15)",-3.6539914158055025,-3.2478473452323766,-1.150893261761953,1.7541066947016655,-0.2572325269545879,2.6897279793154567,-0.6692227902306027,1.045914575577157,0.718904646313663,-0.2816200279623954
"(20, 16)",1.1472638717327828,-0.6398909679747138,0.0914239367105854,1.8116436435463934,-0.8787365723024707,1.8562044688289665,-0.8521114514385171,0.8966783361194272,0.46407668341183267,0.09293217365531896
"(20, 17)",0.5197159635433418,-3.465234919717158,0.6555379076994287,-1.645626766535846,-1.5078189025112088,1.3443139736971286,0.09496677426061875,0.6630556402385903,0.11943576037298832,0.00660316237741183
"(20, 18)",-0.6226822175556582,-4.964090895277851,0.14328862219542052,-4.116651683648506,-1.3543357164112382,0.9958707047999226,0.3566282929108407,-0.24298432516037474,-0.25730244017065224,-0.4585869065380719
"(20, 19)",5.899112262109036,0.275094128650645,0.9938744005757092,0.48730719337689093,-0.09758501838480571,1.380756499846747,0.6544228849824019,-0.8796234504186333,-0.18358564399477953,-0.4817676968695961
