x,y,cNMF_1,cNMF_2,cNMF_3,cluster_label
250.0,30.0,0.405667781829834,0.43985703587532043,0.4484160244464874,4
251.0,30.0,0.4553939998149872,0.41269758343696594,0.37298205494880676,5
252.0,30.0,0.4678729474544525,0.42169898748397827,0.4157712459564209,5
253.0,30.0,0.45692428946495056,0.4182416498661041,0.43295907974243164,5
254.0,30.0,0.4442281424999237,0.4069773256778717,0.42166173458099365,5
255.0,30.0,0.36269551515579224,0.3741980493068695,0.542496919631958,0
256.0,30.0,0.3206409513950348,0.342897891998291,0.628870964050293,0
257.0,30.0,0.30606791377067566,0.3122095465660095,0.6416795253753662,2
258.0,30.0,0.3602200150489807,0.1725488156080246,0.7116091847419739,2
259.0,30.0,0.340166300535202,0.2583742141723633,0.7140646576881409,2
260.0,30.0,0.3061889708042145,0.25315824151039124,0.6836252212524414,2
261.0,30.0,0.29046231508255005,0.256736159324646,0.6582601070404053,2
262.0,30.0,0.30621057748794556,0.24217510223388672,0.718294084072113,2
263.0,30.0,0.2451188862323761,0.27023860812187195,0.7168654799461365,2
264.0,30.0,0.2788335978984833,0.21659956872463226,0.6566420197486877,2
265.0,30.0,0.30435964465141296,0.23359183967113495,0.7086840271949768,2
266.0,30.0,0.2897868752479553,0.27687743306159973,0.6990406513214111,2
267.0,30.0,0.2972358763217926,0.2763994634151459,0.6732345223426819,2
268.0,30.0,0.2139664590358734,0.2875159978866577,0.6664442420005798,2
269.0,30.0,0.28710833191871643,0.27157580852508545,0.6239924430847168,2
270.0,30.0,0.30055928230285645,0.2668030858039856,0.6473240256309509,2
271.0,30.0,0.24827107787132263,0.2819778323173523,0.6955170631408691,2
272.0,30.0,0.3220520615577698,0.2681884467601776,0.6546548008918762,2
273.0,30.0,0.24725493788719177,0.2968563437461853,0.6820394396781921,2
274.0,30.0,0.3288175165653229,0.22826628386974335,0.7083011865615845,2
275.0,30.0,0.314551442861557,0.2518991529941559,0.6717475652694702,2
276.0,30.0,0.3289071321487427,0.21443723142147064,0.6784792542457581,2
277.0,30.0,0.3219617009162903,0.29468193650245667,0.6720278859138489,2
278.0,30.0,0.1965329498052597,0.3398885428905487,0.7138340473175049,1
279.0,30.0,0.28840741515159607,0.30681630969047546,0.6598803400993347,2
280.0,30.0,0.33552029728889465,0.2305728644132614,0.650609016418457,2
281.0,30.0,0.3090318739414215,0.27637746930122375,0.6016217470169067,2
282.0,30.0,0.3145085871219635,0.30013802647590637,0.5384956002235413,0
283.0,30.0,0.20277750492095947,0.36422136425971985,0.6669971942901611,2
284.0,30.0,0.3755728304386139,0.30887919664382935,0.5842284560203552,0
285.0,30.0,0.32660436630249023,0.33523768186569214,0.5664412975311279,0
286.0,30.0,0.31016868352890015,0.3327782154083252,0.5855809450149536,0
287.0,30.0,0.3877792954444885,0.34278878569602966,0.5477311015129089,0
288.0,30.0,0.3684445321559906,0.29813751578330994,0.5472064018249512,0
289.0,30.0,0.39846211671829224,0.33779603242874146,0.517581582069397,0
290.0,30.0,0.352993905544281,0.3767518401145935,0.5912586450576782,0
291.0,30.0,0.3320319652557373,0.3643239736557007,0.5605723857879639,0
292.0,30.0,0.36244580149650574,0.33628523349761963,0.5431211590766907,0
