dim,pearson,spearman,kendall,mi,dcorr,hsic,pp_spatial
90,-0.6978969010065512,-0.6238025908019071,-0.44613235168279086,0.37694101780023637,0.6896292849598668,0.02639214397263363,-0.6807177755626532
122,-0.6122366361381772,-0.5250529759341713,-0.3640920540860564,0.29567534531290995,0.6145580025002705,0.02172214598716981,-0.6017796522774087
39,0.5970950501769637,0.4572928913146117,0.3045392686185589,0.44792769500827845,0.6660149377897305,0.029158487050036378,0.6305633316747717
64,0.5907314302532959,0.4968626933136983,0.342191229969341,0.32323702592481496,0.6147621576705886,0.02005858473815151,0.6167686336241232
44,0.58654812524877,0.48238072844302754,0.3261144327953186,0.417296824068349,0.6519481649684421,0.024788609363808643,0.618937164463294
98,-0.5848504951455193,-0.47007407757540776,-0.31867825445170894,0.3494053066917173,0.6231989173634148,0.021597244957030696,-0.6096951198088703
14,0.5792056557551096,0.47577935331388405,0.3279409047787187,0.2802062319862877,0.58477473519446,0.018523496120467074,0.5770091667481061
86,0.5778758363290196,0.4848924973947097,0.3309376907091549,0.35041425113884284,0.6172364522127465,0.02242881487134642,0.6022056641859047
119,0.5767835334961269,0.4519747274830516,0.30480057045523196,0.33808041851880244,0.615869783074624,0.021212297019262274,0.5913420816226033
66,-0.5593086523410491,-0.4637283374962692,-0.3147540689765389,0.34211414905022863,0.6044798196807387,0.020415590658166494,-0.5972733700135812
45,-0.5484330784984401,-0.4489458314534304,-0.30339875885267953,0.3364962215450156,0.5946326299329373,0.018924987535964253,-0.5940298985267445
111,-0.5328208775257199,-0.429397617187198,-0.28826799697346606,0.3280498530922227,0.5839800826425197,0.020791283214946787,-0.5660499590638747
65,-0.5324434793802124,-0.4373283047423326,-0.2956313479186896,0.27401187814370154,0.5567677904554559,0.018691342021708853,-0.5477678391581268
57,-0.5324062182829195,-0.4269950051237477,-0.28601486230173834,0.2786574727992104,0.5643287735612548,0.018573676497153503,-0.5557901347328253
20,-0.5303617971056459,-0.46024935471127376,-0.31442905054803044,0.25076680879048574,0.5429864243352401,0.018183600929227394,-0.5351056230811788
25,-0.5268026824730616,-0.4338349734517819,-0.2905389001409107,0.40467449244184195,0.6062012573196207,0.023974246936077952,-0.5883014427535802
5,0.5225367123986875,0.4169490718153311,0.2786078805245099,0.3554268472382578,0.5878887306173477,0.020555024797297265,0.5713977841229839
127,-0.5176002582533507,-0.45097032310479895,-0.31177816210214115,0.1975236974986938,0.5023400960380997,0.014153532358099179,-0.5088604227363026
106,-0.5114673535302078,-0.4212685328379526,-0.2822705110582424,0.3263659214918757,0.5665189330829483,0.020107633625038198,-0.546653529439701
107,-0.5027039099648072,-0.39963618136263984,-0.264782408330888,0.3823383617664158,0.590345184278748,0.020122629657312905,-0.5651594244770983
92,0.49883542326976993,0.43390764540987703,0.29767748347128253,0.18540125036832578,0.48554884422345246,0.013362227208366375,0.469735992100693
56,-0.49538762825518656,-0.4126156370149094,-0.28047797497332905,0.24534989329756662,0.5218556092674668,0.014239828736599711,-0.5238875382210024
51,-0.4882491517227915,-0.41185340641974305,-0.2754293859711824,0.39138017501358746,0.571580360078884,0.022732932569655702,-0.5457104396748121
9,0.4865490718408317,0.40349582883433915,0.27168329307917105,0.2458232563660543,0.5126390435056117,0.01586174277529785,0.5053234407377484
85,0.48481579202898173,0.406210698044098,0.2757866394463393,0.20807802071433557,0.49485871501701195,0.013709353632352103,0.4931397495928147
104,0.48055072190824405,0.37753618671776246,0.2532783762306431,0.2480529077050475,0.5167688891770408,0.013575773640706026,0.5233058187260546
48,0.4798377129730865,0.41782127225535964,0.28382340469191136,0.2134907661275358,0.4939847651229016,0.014193016620450086,0.5014350717976481
69,0.4665300509272686,0.3818305071434845,0.2564560160082067,0.249279933480409,0.5076118757944885,0.015599134672440828,0.49298795532932316
26,-0.46541495392147714,-0.35228602443725426,-0.23427645233010222,0.2276565864110376,0.49487144100067326,0.01355128481807523,-0.4842191643218837
0,0.4612424116231243,0.3702474177537962,0.24764860007771536,0.2633547222782182,0.5122553735429172,0.015118345155697611,0.5167334965911371
80,-0.4596949668098222,-0.3908721143082226,-0.2678595563855339,0.15652034815418503,0.43607417109463764,0.010265657181097424,-0.4327354818754175
28,-0.45858711936773455,-0.36149550003540476,-0.24483994081223417,0.19134567415712667,0.46526053335822676,0.010849362998930209,-0.47570219930653984
114,0.4567412492454337,0.3760702636074708,0.2550321497340865,0.19519597311662462,0.46649209290397037,0.012400214689263557,0.47767148775579793
2,-0.4537597499220484,-0.37535205737523464,-0.25192364412405055,0.2623353698335835,0.5027084419626079,0.015279332537598729,-0.5100116373045019
83,0.4531156583256689,0.39625920652432206,0.27258341129110314,0.1370798901219521,0.42082119129350587,0.009189360054604865,0.46312759314822155
24,-0.45151638786673404,-0.37114670870631206,-0.24468307534687264,0.2782912996181439,0.5163416468363768,0.017191344275397834,-0.49706993700939417
63,0.4512106814112435,0.39414345953275404,0.2682875179306542,0.22414343088115984,0.4754604712844847,0.013385042783842987,0.49841756175112395
47,-0.4508454597725712,-0.37544272937937795,-0.25738589555346325,0.1570462778181101,0.43362298245201886,0.009737364391370587,-0.45045107250917393
123,0.4494700927618538,0.3709665921613312,0.2505263630479357,0.1954756786386609,0.4644242996199713,0.01197090497570386,0.4762371574117801
105,0.44682546109260296,0.38841431188098335,0.25976285355136386,0.22742631144211956,0.485297952587178,0.015438557793973942,0.4652053252336177
94,-0.4444257995734627,-0.39698215096512196,-0.27017786132218624,0.22257884043842413,0.4752522329665724,0.014492373736249365,-0.4768511156018722
113,0.42975196263473525,0.37459969451765623,0.2590142885989071,0.15168341618603698,0.40411380796482615,0.00848998103488179,0.3566758054879304
58,0.42717079332716407,0.37979143243710844,0.24852637512340997,0.3227748783190343,0.5205701364606546,0.02024973617669542,0.49565732974369975
13,-0.42405465907717593,-0.3502316636867049,-0.23081445573422396,0.3173188134380096,0.5158998355189096,0.01729389547839906,-0.49679947111636863
125,-0.41967070514918287,-0.33480407683867947,-0.2282215490677335,0.16018867842976192,0.4124073319724321,0.00842601094950152,-0.4398495350096965
6,-0.4186434864035835,-0.357394825407179,-0.2425882488988373,0.16245268307188176,0.42567408388258277,0.010441443861074259,-0.44224997302702784
74,-0.4058441633694118,-0.3462458705019992,-0.23742673575131587,0.12438220244604992,0.39307797205159317,0.008520132206496974,-0.4035539416031158
