x,y,latent,bandcontrast,cluster
20,190,-4.8431335e-05,161.0,0
21,190,0.00049253064,163.0,0
22,190,0.00052001304,160.0,0
23,190,0.00030280533,161.0,0
24,190,8.072355e-05,161.0,0
25,190,-0.00036354666,159.0,0
26,190,0.00024690293,151.0,0
27,190,0.0002795793,64.0,1
28,190,0.0007112934,65.0,1
29,190,0.000264914,72.0,1
30,190,0.00041649537,89.0,1
31,190,4.9120514e-05,91.0,1
32,190,0.0010166666,101.0,1
33,190,0.00061031734,96.0,1
34,190,0.0006760943,86.0,1
35,190,0.0007684191,94.0,1
36,190,0.0008187187,85.0,1
37,190,2.5921967e-05,73.0,1
38,190,0.0003101942,75.0,1
39,190,0.0008602878,66.0,1
20,191,9.722845e-05,158.0,0
21,191,0.0002971636,160.0,0
22,191,-6.675697e-05,159.0,0
23,191,0.00042181276,160.0,0
24,191,0.00030634087,164.0,0
25,191,0.00045121252,164.0,0
26,191,0.00035703718,160.0,0
27,191,0.00021392666,107.0,1
28,191,0.00030284515,58.0,-1
29,191,0.0009737625,76.0,1
30,191,0.0006872399,99.0,1
31,191,0.00066553266,103.0,1
32,191,0.0005783518,103.0,1
33,191,0.00034953584,100.0,1
34,191,0.00019621802,111.0,1
35,191,0.0006373769,93.0,1
36,191,0.00077503594,96.0,1
37,191,0.0007194055,86.0,1
38,191,0.00093005435,78.0,1
39,191,0.0009770356,70.0,1
20,192,0.00047109392,159.0,0
21,192,-0.00030742236,161.0,0
22,192,9.018695e-06,161.0,0
23,192,-0.00015961123,161.0,0
24,192,0.00011281343,163.0,0
25,192,-0.00013481942,161.0,0
26,192,0.00019183708,163.0,0
27,192,0.00095057976,131.0,0
28,192,0.00016652513,56.0,-1
29,192,0.00054834527,75.0,1
30,192,0.0011728404,87.0,1
31,192,-0.00010690396,96.0,1
32,192,0.00056828465,96.0,1
33,192,0.00046451925,105.0,1
34,192,0.00047023338,103.0,1
35,192,0.0005289959,103.0,1
36,192,0.0006899352,109.0,1
37,192,0.00089758425,91.0,1
38,192,0.0010241717,91.0,1
39,192,0.0011630282,72.0,1
20,193,5.764747e-05,158.0,0
21,193,0.00021313317,162.0,0
22,193,0.00020670937,162.0,0
23,193,-0.00031745876,159.0,0
24,193,-0.00017423392,160.0,0
25,193,0.00032136124,160.0,0
26,193,-0.00013569533,166.0,0
27,193,-0.00016826391,139.0,0
