dim,pearson,spearman,kendall,mi,dcorr,hsic,pp_spatial
144,-0.2470903467774076,-0.24215803600190777,-0.16422516570014814,0.08777086699024661,0.2247470249277124,0.002314566684206478,-0.17275125509924621
170,-0.22989520260070656,-0.22900797021939143,-0.15473829712894263,0.07128367295756988,0.2120427315382127,0.0020924471230236172,-0.1472821445918902
345,0.2274689032458543,0.22491312272325667,0.15041766165961618,0.08800055372457738,0.22504913668216656,0.0028073447777393267,0.13909100999858623
387,-0.22085319931646274,-0.22927113571597782,-0.1541906719589805,0.07954986586725621,0.2115034729323606,0.002228332768710284,-0.15161865822363707
181,-0.21920669209756383,-0.2382601990713073,-0.15879482283046892,0.07470335748828205,0.23109722920304696,0.0029582735735725666,-0.13371536347489893
308,-0.218384906093662,-0.23215986411900918,-0.15586323774463098,0.08674456023586696,0.22329789890908466,0.002410910884713285,-0.15888391013909542
322,0.21273934127395322,0.2275149436458509,0.15339907731382185,0.07409138293766215,0.20902072094407043,0.0022966591916686804,0.1525732189532864
335,-0.21258135869511435,-0.2262378378422966,-0.15014971238023442,0.08930402564275397,0.22006392483280401,0.002701281362841449,-0.13573358050178608
226,0.20989746985401952,0.2189664992751714,0.14759735348268757,0.07966972419233542,0.20550495975377497,0.0020806241270599395,0.12122385543423767
502,-0.20576276479669725,-0.21420096559403176,-0.14461866706742071,0.08914167438550624,0.20719102963717234,0.0019237501525580254,-0.13779673524816358
134,0.20266852130528362,0.2099035913118996,0.1399078151768041,0.06971313441138882,0.20238231535825876,0.002079447707490717,0.11553395908409667
24,0.19983494470894195,0.21160177505360886,0.1406757458906874,0.07808063800724252,0.21057213555166793,0.002394718085209576,0.11796436541107887
312,-0.1981087075992063,-0.20368364332198327,-0.1357591963071293,0.0426729760868092,0.18856317154648916,0.0016888613037294492,-0.13492962524697108
431,0.19526012611283453,0.20922693768519013,0.13904838358734006,0.05473571754102302,0.19651837399884978,0.002041797922632549,0.1515320100955918
56,0.19134430253334234,0.20145792940871224,0.134353150424748,0.0645415757264507,0.193138406311909,0.001923910069432914,0.127065278457489
235,0.1909681468884632,0.20940585222146127,0.13889513438211684,0.07727664025520475,0.20216184480881802,0.0022487557716314977,0.11684008434487385
430,0.18804683158430624,0.2353508471117375,0.15833568712460405,0.0861429560034459,0.2123616212333919,0.0023077298504452248,0.12068025033954906
261,0.1875410221986217,0.18887702771484688,0.12699121749718092,0.07233183210887884,0.18321534560599248,0.0017030621411268463,0.14920525067232568
462,-0.1848233198962707,-0.19687535246361354,-0.1309369378492739,0.058485954337376356,0.18624989614096615,0.0017612975972296648,-0.1282562829869478
