dim,pearson,spearman,kendall,mi,dcorr,hsic,pp_spatial
254,-0.6148446729318505,-0.6182224325441653,-0.4284303773826392,0.25743058258663787,0.6291795677261123,0.03470122694061327,-0.35256828458442413
20,-0.5659411721513832,-0.5764908323783895,-0.3993081564695242,0.22701566616163138,0.5823600914513339,0.02973351730235306,-0.41343717401054114
129,-0.5291290215267381,-0.5029585574801935,-0.339029155634572,0.19449917167867525,0.5361274215169982,0.024658524966860437,-0.3765873395533802
35,-0.4859657037245326,-0.5001656232860217,-0.34744247235176307,0.15553764609072562,0.4647857891328448,0.01605427035247645,-0.3671839290168099
77,-0.4374672236694232,-0.43442281871977634,-0.29972375927473954,0.12619925723995973,0.4210868163470591,0.013248869482280391,-0.31754756634404663
16,-0.4363468854773016,-0.43811581937552707,-0.30318043350894636,0.10923114180608273,0.43063721838779734,0.014811349419321523,-0.2523239879117631
45,-0.4358974363092307,-0.4407575193822692,-0.30469597236238244,0.13648135840395614,0.43644203711373825,0.015675289519451265,-0.242642843832517
30,-0.43267750788519965,-0.4413576015932936,-0.30151956901203014,0.12437979921437936,0.43254460328263333,0.014599983608187442,-0.25586603598440466
166,0.42247171545436957,0.4081031455929872,0.27562565346479606,0.1262030295618315,0.4201792024324003,0.013721312770976114,0.26341433200251574
150,0.4161379027550957,0.4314481323462753,0.2928726932249602,0.13516633014243684,0.4405376336110021,0.016799448046984997,0.15663527195038682
95,0.4153257658812685,0.42341990617973346,0.28639532168698706,0.12255252488548063,0.42743923636534686,0.014814293937974721,0.2448771680906212
142,-0.40198763143078964,-0.3876757103541896,-0.2593336107903587,0.11829516964472209,0.40216433069953694,0.013086174462292575,-0.2899657415246481
105,0.3968804685235952,0.41498012009491847,0.2824092468943882,0.09579587754282048,0.39204041779354454,0.012075861400718962,0.24689980140288154
212,0.38371656508978613,0.36630346540372966,0.24964642087004504,0.09269400048587162,0.3775134651932401,0.011008281072674018,0.23090291551844608
219,-0.3709948536147044,-0.37990780117157447,-0.2602470862636626,0.10966781189590158,0.3536652702588344,0.008781354936353541,-0.2637630551571444
180,0.36744109987504325,0.36802939225858705,0.2532143631595331,0.08442235408946086,0.34325372647454727,0.00825465657709414,0.22769738716844878
62,-0.3667636220875019,-0.36969301205489624,-0.2519064323682116,0.08043832967012943,0.36936305123665303,0.010771799401770797,-0.17692292783515842
158,-0.36519732358056234,-0.35792049331385933,-0.24300523670505136,0.08066449821120614,0.3639236943545722,0.010681972164294048,-0.19310848237015893
163,-0.363942921014728,-0.3570763983713875,-0.24018176706029382,0.13317912494422224,0.37906805589276493,0.011595870553417032,-0.20451802683665887
255,-0.3607535953101649,-0.33050200628727394,-0.22317347657156136,0.08090783517318556,0.3618167848120359,0.010465596572406387,-0.29998776715106934
172,0.35418863439222653,0.35262059661573125,0.2383132945012631,0.08494484935816526,0.35570908455638633,0.010106578143931566,0.24434515296555648
32,0.35237559667694746,0.35070523181373014,0.23695346169441295,0.06199835117476127,0.3560748966314627,0.009665830539879131,0.19828117951398314
33,-0.35169033362411833,-0.31822240831698617,-0.21055377246427825,0.09629155061975325,0.3502643509898323,0.009482366039118634,-0.22910783848181504
135,-0.3469464963974417,-0.35223811736169486,-0.23945285190178614,0.06189559047622417,0.37097807871553273,0.011677748011529208,-0.18082972532514296
162,0.34323420593889425,0.3330859941385123,0.2246163526032573,0.1049632026099987,0.3397733268373695,0.008767410703792278,0.26618715419060024
47,-0.3376919709687539,-0.32235027365881724,-0.21822202429012996,0.09464206797069696,0.33993114663874224,0.009132871373197,-0.2549373612114649
41,-0.3352649906942183,-0.3125355422651276,-0.21391415700125355,0.0773658752298596,0.33319301697312115,0.008745377229825888,-0.23074183298467746
116,-0.3348976705309277,-0.33162862663483417,-0.22211467545477728,0.059500344052651144,0.3220045234672566,0.007438700683672416,-0.14586873005031598
71,0.33177083063564483,0.31072607336714186,0.2071541860721145,0.08208059115763966,0.3260618068163537,0.007870350527579385,0.22572688927133894
169,0.33118215774803383,0.3290584414179374,0.22302815092808118,0.06559118794801222,0.34369731018025,0.00963023412083217,0.13984819552422276
94,-0.32708835007971704,-0.3445464637640732,-0.23287166786321573,0.06660565535841378,0.31594096523000864,0.007143282003223261,-0.18111508095930334
235,0.32518839568769076,0.311134399941137,0.20732779123067022,0.06643460087347819,0.3227186771898412,0.00785229244098777,0.280265005273863
171,0.3208776216873075,0.3264722493437244,0.221631986710361,0.06916544024407667,0.3188080754455788,0.0077761805675521925,0.206152392025442
127,-0.3200512736930681,-0.3519672456828186,-0.2426315421932452,0.11069319988519144,0.3351623305688736,0.00907987613146142,-0.11728346642474165
250,0.30951318920176135,0.3240103509539171,0.22272192903646224,0.06990910173777998,0.3121662298775679,0.00778432643776605,0.1515069864993714
221,-0.3086020775093232,-0.3011492624356379,-0.2054569879801488,0.0782417833485134,0.29858252899027304,0.006405350921971387,-0.2328507817247787
147,-0.3085476384032181,-0.3142837272507988,-0.2132290503962756,0.06618500464582233,0.29390908031576185,0.005961316340278332,-0.21420634522057339
54,-0.3041008769727883,-0.3187116102422981,-0.21740484733092882,0.05847834794660667,0.29749758977201735,0.006429077466575455,-0.16845325638461825
93,0.3002576044665968,0.3128539125343042,0.21293320890776243,0.04936493388920393,0.29399255917571265,0.006689895155650085,0.22776890220271817
103,-0.30018192784566156,-0.29535788392583795,-0.20353894409708018,0.09117599504241802,0.30858261924921865,0.007795302478021005,-0.19232894260676778
128,-0.2983255033495225,-0.31157117721987043,-0.21105435594562597,0.0768965962557715,0.2730929338678992,0.004938081009202265,-0.19614562457887055
43,-0.29763162071155824,-0.30568240311083916,-0.20525690081107786,0.034524438089223786,0.31299374173733224,0.00772046963785532,-0.17631912253602966
